承認番号,販売名,原始主成分,標準化成分,同義詞,drugbank_id,映射成功
620525401,デキサート注射液３．３ｍｇ　１ｍＬ,ﾃﾞｷｻｰﾄ,ﾃﾞｷｻｰﾄ,,,False
620525601,デカドロン注射液６．６ｍｇ　２ｍＬ,ﾃﾞｶﾄﾞﾛﾝ,ﾃﾞｶﾄﾞﾛﾝ,,,False
620525701,デキサート注射液６．６ｍｇ　２ｍＬ,ﾃﾞｷｻｰﾄ,ﾃﾞｷｻｰﾄ,,,False
620525801,オルガドロン注射液３．８ｍｇ　１ｍＬ,ｵﾙｶﾞﾄﾞﾛﾝ,ｵﾙｶﾞﾄﾞﾛﾝ,,,False
620525901,オルガドロン注射液１９ｍｇ　５ｍＬ,ｵﾙｶﾞﾄﾞﾛﾝ,ｵﾙｶﾞﾄﾞﾛﾝ,,,False
620527136,プレドニゾロン錠５ｍｇ「ＶＴＲＳ」,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ,,,False
620527207,プレドニゾロン錠１ｍｇ「ＶＴＲＳ」,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ,ﾌﾟﾚﾄﾞﾆｿﾞﾛﾝ,,,False
620530701,セレスタミン配合錠,ベタメタゾン・ｄ−クロルフェニラミン配合錠,ベタメタゾン・Ｄ−クロルフェニラミン配合錠,CHLORPHENIRAMINE,DB01114,True
620530801,エンペラシン配合錠,ベタメタゾン・ｄ−クロルフェニラミン配合錠,ベタメタゾン・Ｄ−クロルフェニラミン配合錠,CHLORPHENIRAMINE,DB01114,True
620531101,ヒスタブロック配合錠,ベタメタゾン・ｄ−クロルフェニラミン配合錠,ベタメタゾン・Ｄ−クロルフェニラミン配合錠,CHLORPHENIRAMINE,DB01114,True
620531301,サクコルチン配合錠,ベタメタゾン・ｄ−クロルフェニラミン配合錠,ベタメタゾン・Ｄ−クロルフェニラミン配合錠,CHLORPHENIRAMINE,DB01114,True
620531401,ベタセレミン配合錠,ベタメタゾン・ｄ−クロルフェニラミン配合錠,ベタメタゾン・Ｄ−クロルフェニラミン配合錠,CHLORPHENIRAMINE,DB01114,True
620531501,プラデスミン配合錠,ベタメタゾン・ｄ−クロルフェニラミン配合錠,ベタメタゾン・Ｄ−クロルフェニラミン配合錠,CHLORPHENIRAMINE,DB01114,True
620531601,セレスタミン配合シロップ,ｾﾚｽﾀﾐﾝﾊｲｺﾞｳｼﾛｯﾌﾟ,ｾﾚｽﾀﾐﾝﾊｲｺﾞｳｼﾛｯﾌﾟ,,,False
620532301,エナルモンデポー筋注１２５ｍｇ　１ｍＬ,ｴﾅﾙﾓﾝﾃﾞﾎﾟｰｷﾝﾁｭｳ125MG,ｴﾅﾙﾓﾝﾃﾞﾎﾟｰｷﾝﾁｭｳ125MG,,,False
620532401,エナルモンデポー筋注２５０ｍｇ　１ｍＬ,ｴﾅﾙﾓﾝﾃﾞﾎﾟｰｷﾝﾁｭｳ250MG,ｴﾅﾙﾓﾝﾃﾞﾎﾟｰｷﾝﾁｭｳ250MG,,,False
620536526,クロルマジノン酢酸エステル錠２５ｍｇ「ＹＤ」,クロルマジノン酢酸エステル錠２５ｍｇ,クロルマジノン酢酸エステル錠２５ＭＧ,,,False
