承認番号,販売名,原始主成分,標準化成分,同義詞,drugbank_id,映射成功
622160802,パロキセチン錠５ｍｇ「ニプロ」,パロキセチン錠５ｍｇ,パロキセチン錠５ＭＧ,PAROXETINE,DB00715,True
622160902,パロキセチン錠１０ｍｇ「ニプロ」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622161002,パロキセチン錠２０ｍｇ「ニプロ」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622161101,タムスロシン塩酸塩ＯＤ錠０．１ｍｇ「ＣＨ」,タムスロシン塩酸塩口腔内崩壊錠０．１ｍｇ,タムスロシン塩酸塩口腔内崩壊錠０．１ＭＧ,TAMSULOSIN,DB00706,True
622161201,タムスロシン塩酸塩ＯＤ錠０．２ｍｇ「ＣＨ」,タムスロシン塩酸塩口腔内崩壊錠０．２ｍｇ,タムスロシン塩酸塩口腔内崩壊錠０．２ＭＧ,TAMSULOSIN,DB00706,True
622161302,ジピリダモール錠１００ｍｇ「ＪＧ」,ジピリダモール錠１００ｍｇ,ジピリダモール錠１００ＭＧ,,,False
622161402,サラゾスルファピリジン腸溶錠２５０ｍｇ「ＣＨ」,サラゾスルファピリジン腸溶錠２５０ｍｇ,サラゾスルファピリジン腸溶錠２５０ＭＧ,,,False
622161502,アゾセミド錠３０ｍｇ「ＪＧ」,アゾセミド錠３０ｍｇ,アゾセミド錠３０ＭＧ,,,False
622162001,ゾルピデム酒石酸塩ＯＤフィルム５ｍｇ「モチダ」,ゾルピデム酒石酸塩口腔内崩壊錠５ｍｇ,ゾルピデム酒石酸塩口腔内崩壊錠５ＭＧ,ZOLPIDEM,DB00425,True
622162101,ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,ゾルピデム酒石酸塩口腔内崩壊錠１０ｍｇ,ゾルピデム酒石酸塩口腔内崩壊錠１０ＭＧ,ZOLPIDEM,DB00425,True
622162501,ゾルピデム酒石酸塩錠５ｍｇ「ケミファ」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622162601,ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622162701,パロキセチン錠５ｍｇ「ケミファ」,パロキセチン錠５ｍｇ,パロキセチン錠５ＭＧ,PAROXETINE,DB00715,True
622162801,パロキセチン錠１０ｍｇ「ケミファ」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622162901,パロキセチン錠２０ｍｇ「ケミファ」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622163001,ロサルタンカリウム錠２５ｍｇ「ケミファ」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622163101,ロサルタンカリウム錠５０ｍｇ「ケミファ」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622163201,ロサルタンカリウム錠１００ｍｇ「ケミファ」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622163301,ピオグリタゾン錠１５ｍｇ「ケミファ」,ピオグリタゾン錠１５ｍｇ,ピオグリタゾン錠１５ＭＧ,PIOGLITAZONE,DB01132,True
622163401,ピオグリタゾン錠３０ｍｇ「ケミファ」,ピオグリタゾン錠３０ｍｇ,ピオグリタゾン錠３０ＭＧ,PIOGLITAZONE,DB01132,True
622163501,ニュープロパッチ２．２５ｍｇ,ﾆｭｰﾌﾟﾛﾊﾟｯﾁ2.25MG,ﾆｭｰﾌﾟﾛﾊﾟｯﾁ2.25MG,,,False
622163601,ニュープロパッチ４．５ｍｇ,ﾆｭｰﾌﾟﾛﾊﾟｯﾁ4.5MG,ﾆｭｰﾌﾟﾛﾊﾟｯﾁ4.5MG,,,False
622163701,ニュープロパッチ９ｍｇ,ﾆｭｰﾌﾟﾛﾊﾟｯﾁ9MG,ﾆｭｰﾌﾟﾛﾊﾟｯﾁ9MG,,,False
622163801,ニュープロパッチ１３．５ｍｇ,ﾆｭｰﾌﾟﾛﾊﾟｯﾁ13.5MG,ﾆｭｰﾌﾟﾛﾊﾟｯﾁ13.5MG,,,False
622163901,アムロジピン錠１０ｍｇ「ツルハラ」,アムロジピン錠１０ｍｇ,アムロジピン錠１０ＭＧ,AMLODIPINE,DB00381,True
622164001,パロキセチン錠５ｍｇ「ＴＳＵ」,パロキセチン錠５ｍｇ,パロキセチン錠５ＭＧ,PAROXETINE,DB00715,True
622164101,パロキセチン錠１０ｍｇ「ＴＳＵ」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622164201,パロキセチン錠２０ｍｇ「ＴＳＵ」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622164301,ピオグリタゾン錠１５ｍｇ「ＴＳＵ」,ピオグリタゾン錠１５ｍｇ,ピオグリタゾン錠１５ＭＧ,PIOGLITAZONE,DB01132,True
622164401,ピオグリタゾン錠３０ｍｇ「ＴＳＵ」,ピオグリタゾン錠３０ｍｇ,ピオグリタゾン錠３０ＭＧ,PIOGLITAZONE,DB01132,True
622164501,ベタヒスチンメシル酸塩錠１２ｍｇ「ＴＳＵ」,ベタヒスチンメシル酸塩錠１２ｍｇ,ベタヒスチンメシル酸塩錠１２ＭＧ,,,False
622164601,ゾルピデム酒石酸塩錠５ｍｇ「ＮＰ」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622164701,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰ」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622164801,パロキセチン錠５ｍｇ「ＮＰ」,パロキセチン錠５ｍｇ,パロキセチン錠５ＭＧ,PAROXETINE,DB00715,True
622164901,パロキセチン錠１０ｍｇ「ＮＰ」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622165001,パロキセチン錠２０ｍｇ「ＮＰ」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622165301,ロサルタンカリウム錠２５ｍｇ「ＮＰ」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622165401,ロサルタンカリウム錠５０ｍｇ「ＮＰ」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622165501,ロサルタンカリウム錠１００ｍｇ「ＮＰ」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622165601,アトルバスタチン錠５ｍｇ「ＮＰ」,アトルバスタチン錠５ｍｇ,アトルバスタチン錠５ＭＧ,ATORVASTATIN,DB01076,True
622165701,アトルバスタチン錠１０ｍｇ「ＮＰ」,アトルバスタチン錠１０ｍｇ,アトルバスタチン錠１０ＭＧ,ATORVASTATIN,DB01076,True
622166101,ゾルピデム酒石酸塩錠５ｍｇ「ＪＧ」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622166201,ゾルピデム酒石酸塩錠１０ｍｇ「ＪＧ」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622166301,パロキセチン錠１０ｍｇ「ＪＧ」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622166401,パロキセチン錠２０ｍｇ「ＪＧ」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622166501,ロサルタンカリウム錠２５ｍｇ「ＪＧ」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622166601,ロサルタンカリウム錠５０ｍｇ「ＪＧ」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622166701,ロサルタンカリウム錠１００ｍｇ「ＪＧ」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622166801,ピオグリタゾン錠１５ｍｇ「ＪＧ」,ピオグリタゾン錠１５ｍｇ,ピオグリタゾン錠１５ＭＧ,PIOGLITAZONE,DB01132,True
622166901,ピオグリタゾン錠３０ｍｇ「ＪＧ」,ピオグリタゾン錠３０ｍｇ,ピオグリタゾン錠３０ＭＧ,PIOGLITAZONE,DB01132,True
622167001,タルチレリン錠５ｍｇ「ＪＧ」,タルチレリン錠５ｍｇ,タルチレリン錠５ＭＧ,,,False
622167101,メサラジン注腸１ｇ「ＪＧ」,メサラジン注腸剤１ｇ,メサラジン注腸剤１Ｇ,,,False
622167201,ピオグリタゾンＯＤ錠１５ｍｇ「ケミファ」,ピオグリタゾン口腔内崩壊錠１５ｍｇ,ピオグリタゾン口腔内崩壊錠１５ＭＧ,PIOGLITAZONE,DB01132,True
622167301,ピオグリタゾンＯＤ錠３０ｍｇ「ケミファ」,ピオグリタゾン口腔内崩壊錠３０ｍｇ,ピオグリタゾン口腔内崩壊錠３０ＭＧ,PIOGLITAZONE,DB01132,True
622167402,ヒアルロン酸Ｎａ点眼液０．３％「科研」　５ｍＬ,ヒアルロン酸Ｎａ点眼液０．３％５ｍＬ,ヒアルロン酸ＮＡ点眼液０．３％５ＭＬ,,,False
622167502,グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「タカタ」,ｸﾞﾗﾆｾﾄﾛﾝﾃﾝﾃｷ,ｸﾞﾗﾆｾﾄﾛﾝﾃﾝﾃｷ,,,False
622167601,アトルバスタチン錠５ｍｇ「日医工」,アトルバスタチン錠５ｍｇ,アトルバスタチン錠５ＭＧ,ATORVASTATIN,DB01076,True
622167701,アトルバスタチン錠１０ｍｇ「日医工」,アトルバスタチン錠１０ｍｇ,アトルバスタチン錠１０ＭＧ,ATORVASTATIN,DB01076,True
622167801,ゾルピデム酒石酸塩錠５ｍｇ「サワイ」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622167901,ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622168001,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「サワイ」,ゾルピデム酒石酸塩口腔内崩壊錠５ｍｇ,ゾルピデム酒石酸塩口腔内崩壊錠５ＭＧ,ZOLPIDEM,DB00425,True
622168101,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,ゾルピデム酒石酸塩口腔内崩壊錠１０ｍｇ,ゾルピデム酒石酸塩口腔内崩壊錠１０ＭＧ,ZOLPIDEM,DB00425,True
622168201,パロキセチン錠５ｍｇ「サワイ」,パロキセチン錠５ｍｇ,パロキセチン錠５ＭＧ,PAROXETINE,DB00715,True
622168301,パロキセチン錠１０ｍｇ「サワイ」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622168401,パロキセチン錠２０ｍｇ「サワイ」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622168501,タルチレリン錠５ｍｇ「サワイ」,タルチレリン錠５ｍｇ,タルチレリン錠５ＭＧ,,,False
622168601,ロサルタンカリウム錠２５ｍｇ「サワイ」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622168701,ロサルタンカリウム錠５０ｍｇ「サワイ」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622168801,ロサルタンカリウム錠１００ｍｇ「サワイ」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622168901,ニコランジル錠２．５ｍｇ「サワイ」,ニコランジル錠２．５ｍｇ,ニコランジル錠２．５ＭＧ,,,False
622169102,グリクラジド錠２０ｍｇ「サワイ」,グリクラジド錠２０ｍｇ,グリクラジド錠２０ＭＧ,GLICLAZIDE,DB01120,True
622169202,クロチアゼパム錠５ｍｇ「サワイ」,クロチアゼパム錠５ｍｇ,クロチアゼパム錠５ＭＧ,,,False
622169301,グリメピリド錠０．５ｍｇ「ＡＡ」,グリメピリド錠０．５ｍｇ,グリメピリド錠０．５ＭＧ,GLIMEPIRIDE,DB00222,True
622169400,レボチロキシンナトリウム錠　１２．５μｇ,ﾚﾎﾞﾁﾛｷｼﾝﾅﾄﾘｳﾑ,ﾚﾎﾞﾁﾛｷｼﾝﾅﾄﾘｳﾑ,,,False
622169401,チラーヂンＳ錠１２．５μｇ,ﾁﾗｰﾁﾞﾝS,ﾁﾗｰﾁﾞﾝS,,,False
622169700,レボチロキシンナトリウム錠　７５μｇ,ﾚﾎﾞﾁﾛｷｼﾝﾅﾄﾘｳﾑ,ﾚﾎﾞﾁﾛｷｼﾝﾅﾄﾘｳﾑ,,,False
622169701,チラーヂンＳ錠７５μｇ,ﾁﾗｰﾁﾞﾝS,ﾁﾗｰﾁﾞﾝS,,,False
622169902,シンバスタチン錠１０ｍｇ「あすか」,シンバスタチン錠１０ｍｇ,シンバスタチン錠１０ＭＧ,SIMVASTATIN,DB00641,True
622170002,シンバスタチン錠２０ｍｇ「あすか」,シンバスタチン錠２０ｍｇ,シンバスタチン錠２０ＭＧ,SIMVASTATIN,DB00641,True
622170101,アトルバスタチン錠５ｍｇ「ＤＳＥＰ」,アトルバスタチン錠５ｍｇ,アトルバスタチン錠５ＭＧ,ATORVASTATIN,DB01076,True
622170201,アトルバスタチン錠１０ｍｇ「ＤＳＥＰ」,アトルバスタチン錠１０ｍｇ,アトルバスタチン錠１０ＭＧ,ATORVASTATIN,DB01076,True
622170301,ゾルピデム酒石酸塩錠５ｍｇ「ＤＳＥＰ」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622170401,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622170501,ドネペジル塩酸塩ＯＤ錠３ｍｇ「ＤＳＥＰ」,ドネペジル塩酸塩口腔内崩壊錠３ｍｇ,ドネペジル塩酸塩口腔内崩壊錠３ＭＧ,,,False
622170601,ドネペジル塩酸塩ＯＤ錠５ｍｇ「ＤＳＥＰ」,ドネペジル塩酸塩口腔内崩壊錠５ｍｇ,ドネペジル塩酸塩口腔内崩壊錠５ＭＧ,,,False
622170701,パロキセチン錠５ｍｇ「ＤＳＥＰ」,パロキセチン錠５ｍｇ,パロキセチン錠５ＭＧ,PAROXETINE,DB00715,True
622170801,パロキセチン錠１０ｍｇ「ＤＳＥＰ」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622170901,パロキセチン錠２０ｍｇ「ＤＳＥＰ」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622171001,ロサルタンＫ錠２５ｍｇ「ＤＳＥＰ」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622171101,ロサルタンＫ錠５０ｍｇ「ＤＳＥＰ」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622171201,ロサルタンＫ錠１００ｍｇ「ＤＳＥＰ」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622171404,酸化マグネシウム錠２５０ｍｇ「ＶＴＲＳ」,酸化マグネシウム錠２５０ｍｇ,酸化マグネシウム錠２５０ＭＧ,MAGNESIUM,DB14513,True
622171504,酸化マグネシウム錠３３０ｍｇ「ＶＴＲＳ」,酸化マグネシウム錠３３０ｍｇ,酸化マグネシウム錠３３０ＭＧ,MAGNESIUM,DB14513,True
622171604,酸化マグネシウム錠５００ｍｇ「ＶＴＲＳ」,酸化マグネシウム錠５００ｍｇ,酸化マグネシウム錠５００ＭＧ,MAGNESIUM,DB14513,True
622173101,タルチレリンＯＤ錠５ｍｇ「日医工」,タルチレリン口腔内崩壊錠５ｍｇ,タルチレリン口腔内崩壊錠５ＭＧ,,,False
622173201,ドネペジル塩酸塩内服ゼリー３ｍｇ「日医工」,ドネペジル塩酸塩経口ゼリー３ｍｇ,ドネペジル塩酸塩経口ゼリー３ＭＧ,,,False
622173301,ドネペジル塩酸塩内服ゼリー５ｍｇ「日医工」,ﾄﾞﾈﾍﾟｼﾞﾙｴﾝ,ﾄﾞﾈﾍﾟｼﾞﾙｴﾝ,,,False
622174001,ゾルピデム酒石酸塩錠５ｍｇ「日医工」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622174101,ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622174401,ブレーザベスカプセル１００ｍｇ,ﾌﾞﾚｰｻﾞﾍﾞｽ,ﾌﾞﾚｰｻﾞﾍﾞｽ,,,False
622174501,ストラテラカプセル４０ｍｇ,アトモキセチンカプセル４０ｍｇ,アトモキセチンカプセル４０ＭＧ,,,False
622174601,ロサルタンカリウム錠２５ｍｇ「ＤＫ」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622174701,ロサルタンカリウム錠５０ｍｇ「ＤＫ」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622174801,ロサルタンカリウム錠１００ｍｇ「ＤＫ」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622175401,ピオグリタゾン錠１５ｍｇ「杏林」,ピオグリタゾン錠１５ｍｇ,ピオグリタゾン錠１５ＭＧ,PIOGLITAZONE,DB01132,True
622175501,ピオグリタゾン錠３０ｍｇ「杏林」,ピオグリタゾン錠３０ｍｇ,ピオグリタゾン錠３０ＭＧ,PIOGLITAZONE,DB01132,True
622175601,ピオグリタゾンＯＤ錠１５ｍｇ「杏林」,ピオグリタゾン口腔内崩壊錠１５ｍｇ,ピオグリタゾン口腔内崩壊錠１５ＭＧ,PIOGLITAZONE,DB01132,True
622175701,ピオグリタゾンＯＤ錠３０ｍｇ「杏林」,ピオグリタゾン口腔内崩壊錠３０ｍｇ,ピオグリタゾン口腔内崩壊錠３０ＭＧ,PIOGLITAZONE,DB01132,True
622175801,ゾルピデム酒石酸塩錠５ｍｇ「杏林」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622175901,ゾルピデム酒石酸塩錠１０ｍｇ「杏林」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622176001,ロサルタンカリウム錠２５ｍｇ「杏林」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622176101,ロサルタンカリウム錠５０ｍｇ「杏林」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622176201,ロサルタンカリウム錠１００ｍｇ「杏林」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622176301,グリメピリド錠０．５ｍｇ「杏林」,グリメピリド錠０．５ｍｇ,グリメピリド錠０．５ＭＧ,GLIMEPIRIDE,DB00222,True
622176401,ゾルピデム酒石酸塩錠５ｍｇ「サンド」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622176501,ゾルピデム酒石酸塩錠１０ｍｇ「サンド」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622176601,パロキセチン錠５ｍｇ「サンド」,パロキセチン錠５ｍｇ,パロキセチン錠５ＭＧ,PAROXETINE,DB00715,True
622176701,パロキセチン錠１０ｍｇ「サンド」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622176801,パロキセチン錠２０ｍｇ「サンド」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622177001,ロサルタンカリウム錠２５ｍｇ「サンド」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622177101,ロサルタンカリウム錠５０ｍｇ「サンド」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622177201,ロサルタンカリウム錠１００ｍｇ「サンド」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622177901,フェンタニル３日用テープ２．１ｍｇ「ＨＭＴ」,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ2.1MG,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ2.1MG,,,False
622178001,フェンタニル３日用テープ４．２ｍｇ「ＨＭＴ」,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ4.2MG,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ4.2MG,,,False
622178101,フェンタニル３日用テープ８．４ｍｇ「ＨＭＴ」,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ8.4MG,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ8.4MG,,,False
622178201,フェンタニル３日用テープ１２．６ｍｇ「ＨＭＴ」,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ12.6M,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ12.6M,,,False
622178301,フェンタニル３日用テープ１６．８ｍｇ「ＨＭＴ」,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ16.8M,ﾌｪﾝﾀﾆﾙ3ﾆﾁﾖｳﾃｰﾌﾟ16.8M,,,False
622178402,ゾルピデム酒石酸塩錠５ｍｇ「クニヒロ」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622178502,ゾルピデム酒石酸塩錠１０ｍｇ「クニヒロ」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622179001,ゾルピデム酒石酸塩錠５ｍｇ「ＡＦＰ」,ゾルピデム酒石酸塩錠５ｍｇ,ゾルピデム酒石酸塩錠５ＭＧ,ZOLPIDEM,DB00425,True
622179101,ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,ゾルピデム酒石酸塩錠１０ｍｇ,ゾルピデム酒石酸塩錠１０ＭＧ,ZOLPIDEM,DB00425,True
622179601,オロパタジン塩酸塩錠２．５ｍｇ「明治」,オロパタジン塩酸塩錠２．５ｍｇ,オロパタジン塩酸塩錠２．５ＭＧ,,,False
622179701,オロパタジン塩酸塩錠５ｍｇ「明治」,オロパタジン塩酸塩錠５ｍｇ,オロパタジン塩酸塩錠５ＭＧ,,,False
622179801,オロパタジン塩酸塩ＯＤ錠２．５ｍｇ「明治」,オロパタジン塩酸塩口腔内崩壊錠２．５ｍｇ,オロパタジン塩酸塩口腔内崩壊錠２．５ＭＧ,,,False
622179901,オロパタジン塩酸塩ＯＤ錠５ｍｇ「明治」,オロパタジン塩酸塩口腔内崩壊錠５ｍｇ,オロパタジン塩酸塩口腔内崩壊錠５ＭＧ,,,False
622180001,クエチアピン錠２５ｍｇ「明治」,クエチアピン錠２５ｍｇ,クエチアピン錠２５ＭＧ,QUETIAPINE,DB01224,True
622180101,クエチアピン錠１００ｍｇ「明治」,クエチアピン錠１００ｍｇ,クエチアピン錠１００ＭＧ,QUETIAPINE,DB01224,True
622180201,クエチアピン錠２００ｍｇ「明治」,クエチアピン錠２００ｍｇ,クエチアピン錠２００ＭＧ,QUETIAPINE,DB01224,True
622180301,モサプリドクエン酸塩錠２．５ｍｇ「明治」,モサプリドクエン酸塩錠２．５ｍｇ,モサプリドクエン酸塩錠２．５ＭＧ,,,False
622180401,モサプリドクエン酸塩錠５ｍｇ「明治」,ﾓｻﾌﾟﾘﾄﾞｸｴﾝ,ﾓｻﾌﾟﾘﾄﾞｸｴﾝ,,,False
622180602,アトルバスタチン錠５ｍｇ「Ｍｅ」,アトルバスタチン錠５ｍｇ,アトルバスタチン錠５ＭＧ,ATORVASTATIN,DB01076,True
622180702,アトルバスタチン錠１０ｍｇ「Ｍｅ」,アトルバスタチン錠１０ｍｇ,アトルバスタチン錠１０ＭＧ,ATORVASTATIN,DB01076,True
622180801,アムロジピン錠１０ｍｇ「明治」,アムロジピン錠１０ｍｇ,アムロジピン錠１０ＭＧ,AMLODIPINE,DB00381,True
622180901,オーキシス９μｇタービュヘイラー２８吸入　２５２μｇ（９μｇ）,ｵｰｷｼｽ9ﾏｲｸﾛGﾀｰﾋﾞｭﾍｲﾗｰ,ｵｰｷｼｽ9ﾏｲｸﾛGﾀｰﾋﾞｭﾍｲﾗｰ,,,False
622181001,パロキセチン錠１０ｍｇ「科研」,パロキセチン錠１０ｍｇ,パロキセチン錠１０ＭＧ,PAROXETINE,DB00715,True
622181101,パロキセチン錠２０ｍｇ「科研」,パロキセチン錠２０ｍｇ,パロキセチン錠２０ＭＧ,PAROXETINE,DB00715,True
622181201,ロサルタンＫ錠２５ｍｇ「科研」,ロサルタンＫ錠２５ｍｇ,ロサルタンＫ錠２５ＭＧ,LOSARTAN,DB00678,True
622181301,ロサルタンＫ錠５０ｍｇ「科研」,ロサルタンＫ錠５０ｍｇ,ロサルタンＫ錠５０ＭＧ,LOSARTAN,DB00678,True
622181401,ロサルタンＫ錠１００ｍｇ「科研」,ロサルタンＫ錠１００ｍｇ,ロサルタンＫ錠１００ＭＧ,LOSARTAN,DB00678,True
622181501,カルボシステインシロップ５％「ＪＧ」,カルボシステインシロップ５％,カルボシステインシロップ５％,,,False
622181601,経口用エンドキサン原末１００ｍｇ,ｹｲｺｳﾖｳｴﾝﾄﾞｷ,ｹｲｺｳﾖｳｴﾝﾄﾞｷ,,,False
622181701,キンダリー透析剤ＡＦ４号　６Ｌ（炭酸水素ナトリウム液付）,ｷﾝﾀﾞﾘｰﾄｳｾｷ,ｷﾝﾀﾞﾘｰﾄｳｾｷ,,,False
622181801,タクロリムス軟膏０．１％「イワキ」,タクロリムス軟膏０．１％,タクロリムス軟膏０．１％,TACROLIMUS,DB00864,True
622182601,テネリア錠２０ｍｇ,ﾃﾈﾘｱ,ﾃﾈﾘｱ,,,False
